"All of us are peacefully making boxes in our woodworking sheds with ample light and BOOM, reality hits us and Breaking Bad is still over.",1380802839,6,2,46,2013-10-03 17:50:39,photo,added_photos
Stop trying. Start being.,1380130560,11,12,102,2013-09-25 23:06:00,photo,added_photos
"Fact: People over 40 can't see this message. Mostly because people over 40 are asleep right now. Although, if you are 40 or above and can see this message, it means you are special. You are the chosen one. The one that the legends spoke of. The one who deliver us from all sleep and make us live our full potential! That, or you have insomnia and you should get that checked out before you wake up with scratches on your back and your breath smelling of raw meat. We may be confusing insomnia with werewolves but the point is, if you're over 40 and reading this right now, you are creepy. Or a robot. Or a robot werewolf. Either way, kids are afraid of you. 

And they should be.

*Distant howling followed by a lightning strike that sets a tree on fire.*",1379968488,8,0,56,2013-09-24 02:04:48,status,mobile_status_update
Life: Explained.,1379944117,6,16,65,2013-09-23 19:18:37,photo,added_photos
"No, you can't read my poker face.",1379845823,6,1,45,2013-09-22 16:00:23,photo,added_photos
"In a very special episode of Uttaran: The year is 2036. The world is a post apocalyptic wasteland. The machines have taken over and humanity is an empty shell of remorse. As most humans perish, some have developed abilities far beyond biological scope.

Ichcha looks at her mechanical arm, and for a second, she is transported back to simpler times when all she wanted to do was eat a mithai without spilling it on jijaji, simpler times when dowry interest rates were cheaper and the world was entirely populated by people in Ritu Kumar sherwanis. 

Feeling the sonic boom of a nearby drone, she is jolted back to reality and in succession uses her mechanical arm to A. apply sindoor (psych, it's actually the blood of a local sarpanch) and B. use its grappling hook feature to scale the tallest building in post-apocalyptic Gwalior (two floors). As she looks at the desolate landscape before her, her eyes well up as she fondly remembers that one time she went to the tailor's with Tapasya and found a button that read 'I'. But to her it was just a line. A lonely line.

Illiteracy spares no one.",1379608042,10,18,91,2013-09-19 21:57:22,status,mobile_status_update
"Tonight on Sasural Simar Ka, Roli discovers a neutrino from a parallel dimension in Rajjo bua's dowry purse. Chaos ensues and Sanskar dies as women in the Bhardwaj family finally learn how to read. Don't miss this exciting episode!",1379604324,6,2,42,2013-09-19 20:55:24,status,mobile_status_update
Nights are the ultimate contraband.,1379527963,5,0,103,2013-09-18 23:42:43,status,mobile_status_update
Getting t-shirts made as we speak.,1379333783,2,19,143,2013-09-16 17:46:23,photo,added_photos
Cheat codes and leveling-up.,1379273108,1,4,113,2013-09-16 00:55:08,photo,added_photos
"If you can read this, you are a creature of the night. A nocturnal. The day is boring to you. Too crowded. Too uniform. You find no joy in brightness. Even your wallpaper is composed almost entirely of dark colours. All your favourite superheroes fight at night. Your greatest ideas have struck you past midnight. Your's is no Cinderella story. In fact, it's the polarized opposite. You're not afraid of the dark. Never were. Never will be. You look at the daywalkers and wonder what it would be like to be limited, have boundaries and never question. Your thoughts are too radical, too awesome for society at large. The world isn't ready for you yet.

At night, we are all outlaws.",1379114843,6,1,83,2013-09-14 04:57:23,status,mobile_status_update
Keeping your mind-cogs in perpetual motion.,1379086646,0,0,80,2013-09-13 21:07:26,photo,added_photos
We're all guilty until proven torrentless.,1378920334,5,17,114,2013-09-11 22:55:34,photo,added_photos
What if insanity is nothing but you living multiple parallel realities at once?,1378897828,8,1,37,2013-09-11 16:40:28,status,mobile_status_update
Here's a booster dose of egomania.,1378731446,1,14,93,2013-09-09 18:27:26,photo,added_photos
Life is various metaphors basically.,1378477484,4,3,103,2013-09-06 19:54:44,photo,added_photos
"Remember: There's a 'sane' in insane. Not to mention, an 'in' in insane. Also, an 'an' in insane. You get the idea. There's an 'id' in idea. Okay, I'll stop.",1378426538,7,15,80,2013-09-06 05:45:38,photo,added_photos
"Okay, look at this post now.",1378294744,5,11,69,2013-09-04 17:09:04,photo,added_photos
"Hey you! STOP LOOKING AT THIS POST!!! STOP. RIGHT NOW. 

Okay, maybe this one time. 

I'm watching you.",1378290721,7,0,67,2013-09-04 16:02:01,status,mobile_status_update
Subtle subliminal messaging.,1378213244,3,3,86,2013-09-03 18:30:44,photo,added_photos
"LIFE HACK:

Don't think of them as 'neighbourhood stray dogs'.

Think of them as 'open source pets'.",1378209135,4,2,80,2013-09-03 17:22:15,status,mobile_status_update
Sip. Sip. Pass.,1378046169,11,20,200,2013-09-01 20:06:09,photo,added_photos
"Say my name.

And don't forget that the T is silent.",1377870706,7,2,147,2013-08-30 19:21:46,photo,added_photos
All-caps are what happens when the alphabets HAVE HAD TOO MUCH TZINGA TO DRINK.,1377728258,3,0,39,2013-08-29 03:47:38,status,mobile_status_update
And zero percent remembering to end a sentence with a full stop.,1377719470,6,1,103,2013-08-29 01:21:10,photo,added_photos
Weird up.,1377608783,2,17,179,2013-08-27 18:36:23,photo,added_photos
PAY ATTENTION!,1377494568,3,1,106,2013-08-26 10:52:48,photo,added_photos
"Psssst... You there! This message is only intended for you if you're half asleep and have no idea whether this status update is happening in your dream or reality. Read this out loud in your head:

Nature is all chaos and humans thrive in order. Humans are also the only species born with the power of choice. Thus humans are actually AGAINST the laws of nature.

Think on that.

This was all a dream.",1377474882,3,2,35,2013-08-26 05:24:42,status,mobile_status_update
"If you think about it, the night is basically daytime with cooler, less annoying friends and no anger management issues.",1377438543,5,0,100,2013-08-25 19:19:03,status,mobile_status_update
"Anyone up right now? 

As in, like, hovering in the sky or experiencing gravity in reverse that sorta thing?",1377389768,10,0,103,2013-08-25 05:46:08,status,mobile_status_update
Generic/Genetic.,1377359702,4,13,198,2013-08-24 21:25:02,photo,added_photos
"""I'm not going to lie to you but I am lying to you right now."" - How you divide by zero using literature.",1377355660,2,0,91,2013-08-24 20:17:40,status,mobile_status_update
Things you can do to stay up at night.,1377190398,5,13,144,2013-08-22 22:23:18,photo,added_photos
"Are you following Tzinga on Twitter yet?

www.twitter.com/Tzinga",1377172603,3,0,44,2013-08-22 17:26:43,status,mobile_status_update
"Those about to go to sleep right now after staying up all night say ""aye"". Or ""present teacher"". Or ""hippopotamus hippocampus"". Totally your choice.",1377134060,5,0,60,2013-08-22 06:44:20,status,mobile_status_update
A scorpion's sting is worse than its bark. Mostly because scorpions don't bark.,1377106945,0,1,149,2013-08-21 23:12:25,photo,added_photos
"Do you love your baby brother? Missing your sister who now lives abroad? Do you?

You do?

Aww. 

Now drink Tzinga.",1377004280,3,1,83,2013-08-20 18:41:20,status,mobile_status_update
"Happy occasional festival everyone! I am a brand and I feel no love yet this occasional festival really matters to me!

#HappyOccasionalFestival",1377001171,0,0,67,2013-08-20 17:49:31,status,mobile_status_update
Night has no idea.,1376920139,1,1,159,2013-08-19 19:18:59,photo,added_photos
"""Good morning/afternoon/evening/night!""",1376786668,5,36,264,2013-08-18 06:14:28,photo,added_photos
"Because at Tzinga, we care.",1376701149,1,1,126,2013-08-17 06:29:09,photo,added_photos
"Langdon approached the dais in a blood soaked tweed jacket. His Mickey Mouse watch looked on, apprehensive.

His first Roadies audition.",1376654672,1,0,55,2013-08-16 17:34:32,status,mobile_status_update
"Balika Vadhu may have been played by a child actor, but her eyebrows were played by a full grown man.",1376652309,9,0,139,2013-08-16 16:55:09,status,mobile_status_update
"The police finally cracked down on the man selling corpses at discounted rates.

His website was a dead giveaway.",1376597974,4,0,63,2013-08-16 01:49:34,status,mobile_status_update
"Question of national importance: 

How totally bitchin' is the new DP?",1376581615,2,0,66,2013-08-15 21:16:55,status,mobile_status_update
For those who'd rather be mean than average...,1376579719,3,16,266,2013-08-15 20:45:19,photo,added_photos
"Given the choice, I'd rather be mean than average. Rather be a fraction, than irrational. Mathematical than calculating.",1376494140,2,0,72,2013-08-14 20:59:00,status,mobile_status_update
"Any of you folks on Twitter? 

If not, GET OFF YOUR LAZY ASSES, MAKE AN ACCOUNT AND FOLLOW US DAMNIT!!!

Or don't and you'll never know what you're missing out on.

www.twitter.com/tzinga",1376491052,4,0,8,2013-08-14 20:07:32,link,shared_story
This.,1376399921,3,11,150,2013-08-13 18:48:41,photo,added_photos
"""What are you at night?""",1376312996,6,2,130,2013-08-12 18:39:56,photo,added_photos
"""Is that who I think it's not?""",1376140325,5,2,168,2013-08-10 18:42:05,photo,added_photos
"There is something about a Tzinga drinker that makes him exclusive of mainstream society. He views it as an observer and not a participant. He knows that what he's drinking is so close to the fringes that it'll keep him constantly on the edge. Constantly thinking. Constantly wondering. Constantly creating.

He is an alien. Has always been. Just doesn't know it yet.",1375972443,14,1,71,2013-08-08 20:04:03,photo,added_photos
"If you think about it, we are all just aliens with aliases.",1375783726,4,2,157,2013-08-06 15:38:46,photo,added_photos
That wonderful day of the year when you make some permanent changes to your privacy settings.,1375604967,4,62,431,2013-08-04 13:59:27,photo,added_photos
Rock and troll!,1375464672,2,5,199,2013-08-02 23:01:12,photo,added_photos
Priorities.,1375308229,9,4,136,2013-08-01 03:33:49,photo,added_photos
Tzinga. The tea is silent.,1375089764,3,4,155,2013-07-29 14:52:44,photo,added_photos
Off the grid. On your marks.,1375011821,7,7,161,2013-07-28 17:13:41,photo,added_photos
That moment when your console needs consoling.,1374848798,1,2,127,2013-07-26 19:56:38,photo,added_photos
"Sometimes you're the shoe, sometimes the cockroach. 

A giant cockroach with the proportionate strength of 30 men.",1374755795,5,4,116,2013-07-25 18:06:35,photo,added_photos
"Things that go bump in the night:
1. Your mind.
2.",1374673816,3,2,134,2013-07-24 19:20:16,photo,added_photos
