Airtel users can now get unlimited access to Facebook for Re. 1. Visit http://one.airtellive.com/facebook or call 56789 on your airtel mobile.,1380018944,4680,506,20964,video
¡Agrégale Facebook ilimitado a tu prepago Movistar! Descarga el app Java de Facebook en m.facebook.com/install y navega ilimitadamente todo un mes por solo S/.1. Más info en: http://mvst.pe/18zZA6z,1377563263,10887,1939,58810,photo
"In the last few weeks we've made the app run faster! If your version is older than v3.2, you can upgrade using the ""Menu / Upgrade"" option. You can also download the latest from: http://d.fb.me/3ux",1375433531,25939,6824,145809,status
We are excited to announce that more than 100 million people are using Facebook For Every Phone each month!,1374601990,48869,5926,241017,status
"Ya están disponibles las nuevas stickers de Mi Villano Favorito 2 ! Son divertidísimas !!
Comience un chat desde su celular, en la ventana de texto haga click en el smiley y encuentre sus stickers preferidos, son Gratis!

Descárguese el app desde http://d.fb.me/3uxj",1373240884,12003,13516,113284,photo
"New Despicable Me 2 stickers are available! They are so much fun!!

Try them now: go to a chat conversation and use the smiley button to find and send the stickers you like. 

Download at http://d.fb.me/3ux",1372755553,13405,16540,146230,photo
"Tunisie Telecom offre la navigation GRATUITE & ILLIMITEE  sur ''Facebook for Every Phone'' jusqu'au 15 septembre 2013!
 
Vous n'avez pas de Smartphone? Cette application est faite pour vous ! Bénéficiez GRATUITEMENT d'une expérience Facebook plus rapide que le site mobile facebook
et similaire aux  applications pour les smartphones.
 
Plus d'infos sur  http://www.facebook.com/TunisieTelecom.PageOfficielle",1372699095,2364,597,11043,photo
"Stickers add fun and feelings to your chats! 
Try it out now: in a chat, click the smiley button and choose a sticker to send.

Download at http://d.fb.me/3ux",1371408813,24195,6736,146226,photo
You can chat with many friends at once using Group Chat. It's fun and useful -- try it out!,1367485704,42930,5030,172671,status
Some people have experienced problems with chat and messaging in the last few hours. We are aware of these service interruptions and working hard to fix them as soon as we can.,1366101387,40505,5340,161372,status
"Chatea y navega en Facebook sin límites Gratis con Claro. Descargá y usá gratis el aplicativo de Facebook desde http://d.facebook.com/install
Si no te permite descargarlo (necesitarás saldo), intentá desde m.facebook.com/install y navegá sin costo durante tres meses.
Más info en https://www.facebook.com/ClaroCosta Rica",1360978950,23360,3339,100089,photo
"Chatea y navega en Facebook sin límites Gratis con Claro. Descargá y usá gratis el aplicativo de Facebook desde http://d.facebook.com/install
Si no te permite descargarlo (necesitarás saldo), intentá desde m.facebook.com/install y navegá sin costo durante tres meses.
Más info en https://www.facebook.com/ClaroGuatemala",1360977465,10585,1690,50439,photo
"Chatea y navega en Facebook sin límites Gratis con Claro. Descargá y usá gratis el aplicativo de Facebook desde http://d.facebook.com/install
Si no te permite descargarlo (necesitarás saldo), intentá desde m.facebook.com/install y navegá sin costo durante tres meses.
 Más info en https://www.facebook.com/ClaroNicaragua",1360976532,6551,634,26504,photo
"Consigue 1GB gratis para chatear en Facebook si te compras uno de estos Nokia, con Telcel. Más info aquí
https://www.facebook.com/nokiamexico/app_463713990331873?ref=ts",1360660935,22348,10692,242884,photo
"Buscas un nuevo celular con datos para chatear por Facebook, Gratis? https://www.facebook.com/nokiamexico/app_463713990331873?ref=ts",1360110742,7329,2133,34560,photo
Free access to Facebook for Every Phone app on Airtel mobile has been extended up to 15th February 2013. Get all your friends and family to download the app from http://d.fb.me/36q and stay in touch without paying data charges.,1359956452,14176,4468,65600,photo
"We refreshed the design of chat and added new features! To download, use http://d.fb.me/3ux – enjoy!",1358408733,37006,2852,101631,photo
"Connecting with all your Facebook friends is only one click away with the Nokia Asha 205! 
Get 6 months free internet access to chat with your friends on Facebook on all Asha smartphones.",1356019277,16190,3903,62662,photo
"Noticia! Con Claro, Gratis, navega y descarga la aplicación de Facebook aquí http://d.fb.me/37b hasta el 5 de Diciembre de 2012. Promoción válida sólo para prepagos No smartphones. Más info en https://www.facebook.com/AmericaMovilPeruSAC",1352335132,22667,4298,120331,photo
Tell your friends and family on Safaricom to join Facebook and they can access it for free for 90 days with the Facebook for Every Phone app. Just dial *544#. This promotion is not available on smartphones. More information on http://www.facebook.com/SafaricomLtd,1352109974,12810,2008,54197,photo
"Con Claro, Gratis, navega y descarga la aplicación de Facebook aquí http://d.fb.me/9ze hasta el 5 de Noviembre de 2012. Promoción no valida para Smartphones. Más info en https://www.facebook.com/ClaroMovilColombia",1349827420,13091,3538,78145,photo
"Con Unefon, navega y descarga Gratis el app de Facebook para los celulares básicos en d.fb.me/ac9 , no te pierdas nada de tus amigos, llévalos siempre contigo. Escribe d.fb.me/ac9 en el navegador del celular y disfrútalo. Hasta Septiembre 21!!!!",1347058669,13224,4160,72823,photo
"We've speeded up messaging! We hope you enjoy the new Chat with your friends! 

To get the app, go to http://d.fb.me/3ux with your phone.",1345346961,36379,613,153679,status
We had some service interruptions yesterday and earlier today. The problem was found and fixed -- your app should work now. If you need the latest version you can get it here: http://d.fb.me/3ux,1343354568,22449,607,94902,status
"As part of our ongoing efforts to create a better Facebook mobile experience across all devices, we are excited to announce that the Facebook for Every Phone app now has TWO filters, SEPIA AND BLACK & WHITE, for your mobile photos. 

Take pictures, change their look, and share with your friends straight from your app. 

Get the app here: http://d.fb.me/3ux",1336061950,10859,703,42981,photo
Black & White and Sepia Photo Filters for your Facebook app,1336059097,96152,836,141776,photo
"Share where you are, check in to places from the Facebook App. Get it here: http://d.fb.me/3ux – enjoy!",1334784431,53474,1014,97452,photo
"We've added support for Pages and updated the design. If prompted to upgrade, be sure to get the latest version. To download, use http://d.fb.me/3ux – enjoy!",1334097352,43046,775,81486,photo
Recently we've started testing support for Pages. It's still work in progress -- more will follow.,1333786752,45903,275,109518,status
